id,date,nft_id,rarity
957670297911,2024-07-15 11:09:36,EQAQDZyCz8lbtvYo20AaHO4743j0rVc7ts_Ns4XfSUqklF2J,Common
621595667716,2024-07-15 11:09:36,EQAAjcMjR4jsee5ZXkvmeSCbLvEaa3ZqorRfNFlQoiOJUN-Q,Rare
962345796123,2024-07-15 11:09:54,EQBQVHaQVnvZQoDKiPnH5fTZUcIA-ibGTg1EidgbDQNxQGMC,Common
614610474604,2024-07-15 11:09:55,EQC3KS8OjcCGp52_ovGCvlNvjpwqLEou2K5rmYGXtpHaCgZO,Common
232219625222,2024-07-15 11:10:14,EQAZ0aFpdcUGwhjt_DckUalorofilLjeSAnpnziQB3OyZVaF,Uncommon
990248212564,2024-07-15 11:10:26,EQCR8ANpUzmEFQSVB3tB5KELUlBK__FggvJel9bqzZ5an1RS,Common
441854507166,2024-07-15 11:10:38,EQCcb9OntgWIy0QviRTc1M7-dnyEPrxOBIau4lVciQdX0cl5,Common
230088669074,2024-07-15 11:10:38,EQCHeMQiwfmE1CgpvP9fxF3uaigLdeTazYKggFAD-dl_Um8i,Common
336494077794,2024-07-15 11:11:11,EQBv8yuLaqrcd3DaeGRmnN07D0xegqMVp6sHBQDv8qNQhY2l,Common
576231711225,2024-07-15 11:12:01,EQBT_qsauX1MzhJlV_1gQvmqqZPFz0ojU8nw0SWT3n2Jx97q,Common
399822966398,2024-07-15 11:12:01,EQD1AS5PT-4oxob5xVib3GuWsIiFHAFSMEyd2HPuGXFIDV_h,Common
223352373577,2024-07-15 11:12:42,EQA6lYjtTDjW1o3b5XyWTzuXCJ89J6HGk2MKdDE6cA6FO_JB,Common
233720116451,2024-07-15 11:12:42,EQAwvHbsSpZyYCEbqHmBM277wVJ44iF_iw5gKoPJnwTqimop,Common
804659544490,2024-07-15 11:14:18,EQBRW37gM4VagigyiYI2iAZnadrftR9oPGEBLsFCqls88gqr,Uncommon
183684045983,2024-07-15 11:14:18,EQA7iG3DPFliky09dU4ylcKVCa1k3kDxTCh5pSRwpjmlfuGq,Uncommon
379433641368,2024-07-15 11:14:19,EQCbyKTaJKqVrftH9DtUQxTJcNJM5aqq1xvlvxIPAnPJB-GI,Common
209183863991,2024-07-15 11:14:37,EQAfTdYejYCGFgO9r0R4J_0PrsQ8vDg1xKRbhZoezwRBuEX5,Common
376657579326,2024-07-15 11:14:58,EQBjRUfV9IbFIRwrq7UXWbZAK7msImZXdshT2J-dQhK9VzYH,Common
742525918737,2024-07-15 11:15:10,EQCxMVqYCpADPlyicDv4YJfYprEOnjU1c5z8J_MIH1EvR9iR,Uncommon
110581652279,2024-07-15 11:15:54,EQBb2y616CgRmXif_xMqnkVNCxr8mSI2q36E-OwesCtHIibH,Common
463693001794,2024-07-15 11:16:00,EQCSimIfEYwWu7SXmYyPpN9YxanD6EwekM4RBOfgNkL7-Gth,Common
660879477046,2024-07-15 11:16:19,EQBus5Q4qukROLz1JIokmbWd8FZcTWMo3KkBOCvmborO3rrh,Uncommon
518653704307,2024-07-15 11:16:39,EQDnfyfYTuZWet0zksVuU8fABlPEdOlFx_t3Ar_XiSNuFDl-,Common
355247883210,2024-07-15 11:17:14,EQCEKplAKa_MSugtAs8URcW9lGbL5msZ9aQGAuzV4X4OIfSA,Common
305936244739,2024-07-15 11:17:14,EQAP0604wxVXK3vCSADGCOjZl27638S9RV1j9H_FG5h1vhb-,Uncommon
708940532027,2024-07-15 11:17:34,EQBSJlLqgOeCcD1CtQgZ2PdVNRM39kC6-lGW9cHw37jYcuZe,Common
956783879257,2024-07-15 11:18:10,EQB62FFHKBggiYIxT4qjoGmSpR0KHLGsRvSQXKyDKFbM-3NT,Uncommon
991827411270,2024-07-15 11:18:16,EQDJhNE42c_E_Xb0YhTomkVl4lUoNnCpwBi8l9tvOH-DtQaS,Uncommon
186640241113,2024-07-15 11:18:48,EQBgDLAHK8qYHVThV2BGvMdAcwAxHEBU__MjNcIEex9DhZdz,Common
